CIK,FILINGMANAGER_NAME,PERIODOFREPORT,FILING_DATE,SUBMISSIONTYPE,ISAMENDMENT,TABLEVALUETOTAL,TABLEENTRYTOTAL,ISCONFIDENTIALOMITTED,NAMEOFISSUER,CUSIP,TITLEOFCLASS,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,INVESTMENTDISCRETION,weight
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,SOUTHERN COMPANY,842587107,COM,3478000,104877,SH,SOLE,0.015417623
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,SYSCO,871829107,COM,1179000,39977,SH,SOLE,0.005226388
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,TECHNOLOGY S&P SECTOR,81369Y803,COM,206000,8937,SH,SOLE,0.000913177
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,TEVA PHARMACEUTICAL ADR,881624209,COM,1173000,18590,SH,SOLE,0.005199791
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,TJX COMPANIES INC,872540109,COM,1183000,27825,SH,SOLE,0.00524412
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,TOYOTA MTR CORP ADR NEW,892331307,COM,5260000,65408,SH,SOLE,0.02331705
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,UNITED TECH CP,913017109,COM,11690000,158806,SH,SOLE,0.051820592
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,US BANCORP NEW,902973304,COM,357000,13811,SH,SOLE,0.001582545
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,V F CORP,918204108,COM,5567000,69462,SH,SOLE,0.02467795
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,VECTREN CORP,92240G101,COM,3377000,136626,SH,SOLE,0.014969901
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,WAL-MART STORES INC,931142103,COM,292000,5260,SH,SOLE,0.001294407
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,WELLS FARGO & CO-NEW,949746101,COM,7137000,229350,SH,SOLE,0.031637602
